"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 15:59:56 GMT 2023","Wed Dec 06 15:59:57 GMT 2023","567","tests.Lesson_20","test_notes_api","","","","Test get all notes",""
"passed","Wed Dec 06 16:00:00 GMT 2023","Wed Dec 06 16:00:00 GMT 2023","209","tests.Lesson_20","test_notes_api","","","","Test delete note without content type",""
"passed","Wed Dec 06 16:00:01 GMT 2023","Wed Dec 06 16:00:01 GMT 2023","353","tests.Lesson_20","test_notes_api","","","","Test fail change note status to string",""
"passed","Wed Dec 06 15:59:59 GMT 2023","Wed Dec 06 15:59:59 GMT 2023","131","tests.Lesson_20","test_notes_api","","","","Test post fail empty note",""
"passed","Wed Dec 06 15:59:57 GMT 2023","Wed Dec 06 15:59:57 GMT 2023","257","tests.Lesson_20","test_notes_api","","","","Test post new note",""
"passed","Wed Dec 06 16:00:00 GMT 2023","Wed Dec 06 16:00:00 GMT 2023","134","tests.Lesson_20","test_notes_api","","","","Test get note fail with invalid id",""
"passed","Wed Dec 06 15:59:59 GMT 2023","Wed Dec 06 15:59:59 GMT 2023","132","tests.Lesson_20","test_notes_api","","","","Test fail post new note without description",""
"passed","Wed Dec 06 15:59:59 GMT 2023","Wed Dec 06 16:00:00 GMT 2023","125","tests.Lesson_20","test_notes_api","","","","Test page not found empty id",""
"passed","Wed Dec 06 15:59:58 GMT 2023","Wed Dec 06 15:59:59 GMT 2023","363","tests.Lesson_20","test_notes_api","","","","Update existing note by id",""
"passed","Wed Dec 06 15:59:58 GMT 2023","Wed Dec 06 15:59:58 GMT 2023","158","tests.Lesson_20","test_notes_api","","","","Test fail post note without title",""
"passed","Wed Dec 06 15:59:58 GMT 2023","Wed Dec 06 15:59:58 GMT 2023","370","tests.Lesson_20","test_notes_api","","","","Test get note by id",""
"passed","Wed Dec 06 16:00:00 GMT 2023","Wed Dec 06 16:00:01 GMT 2023","438","tests.Lesson_20","test_notes_api","","","","Test change note status",""
"passed","Wed Dec 06 16:00:00 GMT 2023","Wed Dec 06 16:00:00 GMT 2023","97","tests.Lesson_20","test_notes_api","","","","Test authentif fail without token",""
"passed","Wed Dec 06 15:59:59 GMT 2023","Wed Dec 06 15:59:59 GMT 2023","242","tests.Lesson_20","test_notes_api","","","","Test delete note by id",""
